,GSPC
2024-12-13,-0.0064332411626415184
2024-12-20,-0.019870758689518094
2024-12-27,0.006742666807504227
2025-01-03,-0.004751363233422853
2025-01-10,-0.01942461158541711
2025-01-17,0.029109138782370512
2025-01-24,0.017439720677851277
2025-01-31,-0.009950509549960225
2025-02-07,-0.0024069992696632166
2025-02-14,0.014709557266100261
2025-02-21,-0.016599532914543934
2025-02-28,-0.009750310396601188
2025-03-07,-0.030951348507431354
2025-03-14,-0.022747954917210853
2025-03-21,0.00507544281104059
2025-03-28,-0.015283493477260551
2025-04-04,-0.09081980250687569
2025-04-11,0.05701127705953473
2025-04-18,-0.01503901845575643
2025-04-25,0.045906403289777124
2025-05-02,0.029222411832129543
2025-05-09,-0.004705700522912856
2025-05-16,0.052734004307985784
2025-05-23,-0.02610777789487331
2025-05-30,0.018761588414845792
2025-06-06,0.014999081946761833
2025-06-13,-0.003898040945949124
2025-06-20,-0.0015275918677116389
2025-06-27,0.034389324419234084
2025-07-04,0.017216761913259354
2025-07-11,-0.0031213576805608724
2025-07-18,0.005917175456288191
2025-07-25,0.01458681281834913
2025-08-01,-0.02357784565576029
2025-08-08,0.024277042739179945
2025-08-15,0.009445195991867087
2025-08-22,0.002652850023354952
2025-08-29,-0.0010283722000641487
